Proj no.;TO no.;Coil no.;Sample no.;WS;Brazed;Depth [μm];Unit;Al;Si;Fe;Cu;Mn;Mg;Cr;Ni-L;Ni-H;Zn;Ti;B;Be;Bi;Ca;Cd;Ga;Hg;In;Li;Na;P;Pb;Sn;Sr;V;Zr;
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;68,374;m%;97,16;0,311;0,221;0,487;1,44;0,135;0,001;0,006;0;0,016;0,148;0,0027;0;0;0,0006;0;0,014;0;0;0;0,0008;0,0022;0,021;0,014;0,0001;0,014;0,004;-688,5340558
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;68,4976;m%;97,14;0,308;0,224;0,493;1,439;0,139;0,001;0,006;0;0,015;0,153;0,0023;0;0;0,0006;0;0,015;0,0002;0;0;0,0008;0,0022;0,024;0,026;0,0001;0,012;0,001;-688,4997084
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;68,6036;m%;97,12;0,309;0,225;0,496;1,436;0,14;0,001;0,005;0;0,016;0,156;0,0024;0;0;0,0005;0;0,015;0;0;0;0,0009;0,0022;0,036;0,017;0;0,013;0,005;-688,4704452
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;68,7096;m%;97,14;0,303;0,223;0,495;1,434;0,137;0,001;0,005;0;0,018;0,151;0,0027;0;0;0,0006;0;0,016;0,0004;0,001;0;0,0009;0,0022;0,038;0,016;0,0001;0,013;0,005;-688,4413612
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;68,8333;m%;97,15;0,304;0,222;0,494;1,437;0,141;0,001;0,006;0;0,019;0,151;0,0023;0;0;0,0006;0;0,015;0,0004;0;0;0,0008;0,0022;0,033;0,012;0,0001;0,011;0,003;-688,407648
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;68,9394;m%;97,15;0,296;0,222;0,492;1,439;0,138;0,001;0,006;0;0,019;0,155;0,0024;0;0;0,0006;0;0,016;0;0;0;0,0009;0,0021;0,026;0,022;0;0,012;0,004;-688,3789274
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,0454;m%;97,13;0,298;0,224;0,499;1,451;0,137;0,001;0,006;0;0,019;0,153;0,0023;0;0;0,0006;0;0,016;0;0;0;0,0009;0,0021;0,022;0,019;0;0,011;0,01;-688,3504151
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,1691;m%;97,14;0,296;0,221;0,497;1,448;0,137;0,001;0,006;0;0,017;0,152;0,0024;0;0;0,0006;0;0,015;0,0011;0,001;0;0,0009;0,0022;0,028;0,016;0,0001;0,012;0,008;-688,3173717
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,2751;m%;97,16;0,291;0,223;0,494;1,441;0,135;0,001;0,006;0;0,016;0,15;0,0023;0,0001;0;0,0007;0;0,015;0,0004;0,001;0;0,0009;0,0022;0,03;0,018;0,0002;0,011;0,002;-688,2892541
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,3811;m%;97,15;0,3;0,222;0,496;1,449;0,136;0,001;0,005;0;0,017;0,152;0,0021;0,0001;0;0,0006;0;0,016;0,0011;0;0;0,0008;0,0022;0,022;0,017;0;0,009;0,002;-688,2613195
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,5049;m%;97,12;0,302;0,224;0,495;1,447;0,139;0,001;0,005;0;0,017;0,151;0,0019;0;0;0,0006;0;0,017;0;0;0;0,0009;0,0022;0,034;0,033;0,0001;0,012;0,002;-688,2289267
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,6109;m%;97,12;0,301;0,226;0,492;1,449;0,139;0,001;0,005;0;0,016;0,155;0,0023;0;0;0,0005;0;0,018;0,0002;0,001;0;0,0009;0,0022;0,032;0,017;0,0002;0,014;0,006;-688,2013911
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,717;m%;97,11;0,299;0,23;0,493;1,453;0,137;0,001;0,006;0;0,017;0,151;0,0027;0;0;0,0006;0;0,018;0;0,001;0;0,0008;0,0022;0,039;0,022;0,0001;0,014;0,005;-688,1740147
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,8409;m%;97,12;0,29;0,229;0,497;1,451;0,135;0,001;0,005;0;0,018;0,151;0,0026;0;0;0,0006;0;0,017;0;0,001;0;0,0009;0,0022;0,034;0,022;0;0,013;0,005;-688,1422809
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;69,9471;m%;97,13;0,285;0,233;0,498;1,45;0,139;0,001;0,005;0;0,016;0,154;0,0025;0;0;0,0006;0;0,015;0,0007;0,001;0;0,0009;0,0022;0,04;0,012;0,0001;0,014;0,004;-688,1152828
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,0534;m%;97,11;0,289;0,228;0,501;1,453;0,137;0,001;0,005;0;0,019;0,152;0,0027;0;0;0,0006;0;0,015;0,0001;0,002;0;0,0008;0,0022;0,041;0,022;0,0001;0,016;0,006;-688,0884471
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,1774;m%;97,13;0,289;0,23;0,5;1,443;0,137;0,001;0,005;0;0,016;0,151;0,0025;0;0;0,0006;0;0,015;0,0011;0,002;0;0,0009;0,0022;0,041;0,017;0,0001;0,011;0,007;-688,057381
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,2836;m%;97,13;0,289;0,229;0,502;1,438;0,141;0,001;0,006;0;0,017;0,149;0,0026;0;0;0,0005;0;0,015;0,0004;0,001;0;0,0008;0,0022;0,029;0,022;0;0,012;0,005;-688,0309789
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,3898;m%;97,15;0,288;0,223;0,498;1,448;0,139;0,001;0,006;0;0,016;0,148;0,0025;0;0;0,0007;0;0,017;0,0001;0,001;0;0,0009;0,0022;0,03;0,016;0,0002;0,012;0,002;-688,0047659
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,5137;m%;97,14;0,286;0,228;0,497;1,452;0,136;0,001;0,006;0;0,019;0,152;0,0027;0,0001;0;0,0006;0;0,015;0;0,001;0;0,0009;0,0022;0,022;0,021;0,0001;0,014;0,004;-687,9744239
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,6199;m%;97,14;0,29;0,231;0,497;1,444;0,14;0,001;0,006;0;0,016;0,15;0,0026;0;0;0,0004;0;0,016;0;0,001;0;0,0009;0,0022;0,029;0,022;0,0001;0,013;0,002;-687,9486227
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,7262;m%;97,13;0,29;0,232;0,503;1,437;0,142;0,001;0,005;0;0,016;0,151;0,0025;0;0;0,0005;0;0,017;0;0,001;0;0,0009;0,0022;0,025;0,023;0;0,011;0,008;-687,9229883
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,8502;m%;97,15;0,286;0,224;0,504;1,438;0,14;0,001;0,005;0;0,018;0,153;0,0026;0;0;0,0005;0;0,016;0;0,001;0;0,0009;0,0022;0,027;0,011;0,0001;0,01;0,008;-687,8933278
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;70,9565;m%;97,16;0,284;0,225;0,503;1,434;0,137;0,001;0,006;0;0,018;0,155;0,0024;0;0;0,0006;0;0,016;0,0001;0,001;0;0,0009;0,0022;0,034;0,009;0,0002;0,011;0,001;-687,8681094
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,0628;m%;97,13;0,29;0,229;0,5;1,437;0,141;0,001;0,006;0;0,02;0,154;0,0026;0,0001;0;0,0006;0;0,015;0,0001;0;0;0,0011;0,0022;0,033;0,025;0,0001;0,013;0,005;-687,8430838
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,1869;m%;97,13;0,289;0,228;0,498;1,443;0,143;0,001;0,006;0;0,018;0,153;0,0027;0;0;0,0006;0;0,014;0,0006;0;0;0,001;0,0022;0,032;0,022;0;0,012;0,004;-687,8141122
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,2933;m%;97,13;0,284;0,229;0,5;1,44;0,142;0,001;0,006;0;0,017;0,155;0,003;0;0;0,0006;0;0,016;0,0002;0;0;0,0009;0,0022;0,032;0,021;0,0001;0,012;0,011;-687,7894831
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,3998;m%;97,14;0,281;0,233;0,499;1,435;0,143;0,001;0,005;0;0,017;0,151;0,0032;0,0001;0;0,0007;0;0,016;0,0002;0;0;0,0009;0,0022;0,029;0,024;0,0002;0,014;0,007;-687,7650258
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,524;m%;97,13;0,282;0,229;0,502;1,435;0,143;0,001;0,006;0;0,015;0,153;0,0028;0;0;0,0007;0;0,017;0,0014;0;0;0,0009;0,0022;0,032;0,029;0,0001;0,012;0,005;-687,7367508
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,6303;m%;97,16;0,278;0,224;0,504;1,443;0,142;0,001;0,006;0;0,018;0,151;0,0029;0;0;0,0007;0;0,016;0,0016;0;0;0,001;0,0022;0,026;0,005;0;0,014;0,007;-687,7127626
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,7368;m%;97,14;0,274;0,227;0,503;1,445;0,141;0,001;0,006;0;0,018;0,152;0,0029;0;0;0,0006;0;0,015;0,0004;0;0;0,001;0,0022;0,033;0,021;0,0001;0,013;0,007;-687,6889256
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,8432;m%;97,15;0,273;0,229;0,497;1,441;0,14;0,001;0,005;0;0,017;0,151;0,0028;0;0;0,0007;0;0,015;0;0,001;0;0,0009;0,0022;0,026;0,025;0,0002;0,012;0,008;-687,6653076
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;71,9675;m%;97,16;0,276;0,225;0,505;1,435;0,141;0,001;0,005;0;0,019;0,153;0,0029;0;0;0,0006;0;0,016;0;0,001;0;0,0009;0,0022;0,03;0,016;0,0001;0,013;0,002;-687,6379658
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,0741;m%;97,16;0,279;0,223;0,502;1,437;0,14;0,001;0,006;0;0,017;0,15;0,0031;0;0;0,0006;0;0,018;0;0;0;0,0008;0,0022;0,022;0,018;0,0001;0,013;0,007;-687,6147322
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,1805;m%;97,16;0,273;0,223;0,503;1,438;0,144;0,001;0,006;0;0,018;0,147;0,0029;0;0;0,0007;0;0,016;0,0001;0;0;0,0008;0,0022;0,025;0,023;0,0002;0,012;0,008;-687,5917402
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,3047;m%;97,16;0,271;0,223;0,502;1,439;0,144;0,001;0,005;0;0,018;0,15;0,0029;0,0001;0;0,0007;0;0,016;0;0;0;0,0008;0,0022;0,028;0,021;0,0001;0,012;0,003;-687,5651527
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,4112;m%;97,16;0,27;0,222;0,503;1,437;0,138;0,001;0,005;0;0,017;0,153;0,0028;0;0;0,0006;0;0,017;0,0006;0;0;0,0009;0,0022;0,032;0,019;0,0001;0,013;0,009;-687,5425699
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,5178;m%;97,17;0,271;0,219;0,505;1,428;0,138;0,001;0,006;0;0,019;0,153;0,0025;0;0;0,0006;0;0,017;0,0004;0;0;0,001;0,0022;0,027;0,016;0,0001;0,015;0,004;-687,5201657
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,642;m%;97,19;0,27;0,217;0,504;1,425;0,14;0,001;0,005;0;0,018;0,151;0,0022;0;0;0,0007;0;0,016;0;0;0;0,0009;0,0022;0,03;0,013;0,0001;0,014;0,003;-687,4943152
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,7485;m%;97,16;0,264;0,223;0,505;1,428;0,14;0,001;0,005;0;0,02;0,155;0,0026;0;0;0,0006;0;0,016;0,0001;0;0;0,0009;0,0022;0,036;0,023;0,0001;0,013;0,003;-687,4723658
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,8551;m%;97,19;0,263;0,222;0,505;1,423;0,137;0,001;0,005;0;0,017;0,153;0,0027;0;0;0,0007;0;0,015;0;0,001;0;0,0009;0,0021;0,03;0,009;0,0001;0,014;0,007;-687,4505967
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;72,9794;m%;97,18;0,265;0,216;0,506;1,427;0,14;0,001;0,006;0;0,018;0,152;0,0029;0,0002;0;0,0007;0;0,016;0,0005;0,001;0;0,0009;0,0021;0,035;0,013;0,0001;0,013;0,006;-687,4254674
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,0862;m%;97,19;0,264;0,215;0,505;1,423;0,141;0,001;0,006;0;0,018;0,151;0,0027;0;0;0,0008;0;0,016;0,0001;0;0;0,001;0,0021;0,027;0,022;0,0001;0,013;0,003;-687,4040953
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,1929;m%;97,18;0,267;0,218;0,504;1,425;0,144;0,001;0,006;0;0,02;0,151;0,0025;0;0;0,0007;0;0,016;0,0007;0;0;0,001;0,0021;0,029;0,012;0,0001;0,013;0,009;-687,3829459
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,2996;m%;97,16;0,264;0,216;0,511;1,427;0,143;0,001;0,005;0;0,021;0,152;0,0026;0;0;0,0006;0;0,016;0;0,002;0;0,001;0,0021;0,034;0,026;0,0001;0,012;0,007;-687,3619994
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,4241;m%;97,18;0,266;0,22;0,509;1,42;0,142;0,001;0,005;0;0,02;0,154;0,0026;0;0;0,0006;0;0,016;0,0005;0,002;0;0,0009;0,0021;0,032;0,017;0;0,012;0,002;-687,3378154
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,5308;m%;97,18;0,262;0,221;0,507;1,421;0,144;0,001;0,005;0;0,018;0,15;0,0028;0,0001;0;0,0007;0;0,015;0,0004;0,001;0;0,0009;0,0021;0,033;0,023;0,0002;0,011;0,002;-687,3173096
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,6374;m%;97,17;0,26;0,224;0,506;1,426;0,148;0,001;0,006;0;0,017;0,152;0,0025;0;0;0,0006;0;0,016;0,0001;0,001;0;0,001;0,0021;0,029;0,021;0,0002;0,012;0,006;-687,2970266
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,762;m%;97,19;0,262;0,22;0,505;1,426;0,144;0,001;0,005;0;0,016;0,154;0,0027;0,0001;0;0,0006;0;0,016;0;0;0;0,0009;0,0022;0,028;0,01;0,0002;0,012;0,003;-687,2735771
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,8687;m%;97,18;0,262;0,218;0,504;1,43;0,145;0,001;0,005;0;0,017;0,157;0,0026;0,0001;0;0,0007;0;0,016;0,0016;0;0;0,0009;0,0021;0,033;0,008;0,0001;0,014;0,004;-687,253718
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;73,9755;m%;97,17;0,261;0,218;0,507;1,426;0,143;0,001;0,005;0;0,018;0,153;0,0027;0,0001;0;0,0006;0;0,016;0,0015;0;0;0,0009;0,0021;0,031;0,022;0,0001;0,014;0,004;-687,2340453
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,0822;m%;97,18;0,263;0,219;0,505;1,426;0,142;0,001;0,006;0;0,019;0,155;0,0025;0,0001;0;0,0007;0;0,017;0,0004;0;0;0,0009;0,0022;0,03;0,015;0,0001;0,011;0,004;-687,2145961
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,2068;m%;97,19;0,26;0,217;0,506;1,425;0,144;0,001;0,005;0;0,018;0,152;0,0022;0;0;0,0007;0;0,016;0,0004;0;0;0,0011;0,0022;0,038;0,01;0,0001;0,01;0,001;-687,1921441
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,3137;m%;97,18;0,262;0,216;0,509;1,42;0,146;0,001;0,006;0;0,019;0,151;0,0025;0;0;0,0007;0;0,015;0,0003;0;0;0,001;0,0021;0,029;0,021;0;0,011;0,004;-687,1731049
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,4206;m%;97,19;0,264;0,222;0,51;1,425;0,148;0,001;0,005;0;0,018;0,15;0,0027;0;0;0,0006;0;0,016;0;0;0;0,001;0,0022;0,026;0,008;0;0,012;0,001;-687,1542722
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,5455;m%;97,17;0,266;0,22;0,509;1,425;0,146;0,001;0,005;0;0,02;0,152;0,0023;0;0;0,0007;0;0,017;0,0006;0,001;0;0,001;0,0022;0,036;0,01;0,0001;0,011;0,002;-687,1325305
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,6525;m%;97,17;0,271;0,217;0,51;1,423;0,148;0,001;0,006;0;0,018;0,152;0,0023;0;0;0,0006;0;0,016;0,0002;0;0;0,0009;0,0021;0,035;0,012;0,0002;0,012;0,002;-687,1141294
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,7594;m%;97,19;0,253;0,218;0,509;1,424;0,146;0,001;0,006;0;0,018;0,151;0,0021;0,0001;0;0,0006;0;0,016;0,0008;0;0;0,0009;0,0021;0,035;0,011;0,0002;0,011;0,005;-687,0959529
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,8664;m%;97,18;0,255;0,221;0,51;1,42;0,144;0,001;0,005;0;0,017;0,15;0,0024;0;0;0,0007;0;0,016;0,0014;0,001;0;0,001;0,0021;0,037;0,016;0,0002;0,014;0,006;-687,0779672
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;74,9913;m%;97,19;0,261;0,223;0,509;1,424;0,146;0,001;0,006;0;0,016;0,148;0,0025;0;0;0,0008;0;0,016;0,0011;0,001;0;0,0008;0,0021;0,032;0,007;0,0002;0,015;0,001;-687,0572357
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,0982;m%;97,18;0,26;0,222;0,507;1,42;0,144;0,001;0,005;0;0,019;0,149;0,0024;0;0;0,0006;0;0,017;0,0006;0,002;0;0,0009;0,0021;0,029;0,024;0,0002;0,011;0,004;-687,0397174
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,2053;m%;97,18;0,258;0,221;0,508;1,426;0,145;0,001;0,005;0;0,019;0,147;0,0023;0;0;0,0007;0;0,017;0,0007;0;0;0,0009;0,0021;0,037;0,015;0;0,011;0,006;-687,0223748
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,3303;m%;97,18;0,251;0,222;0,512;1,421;0,148;0,001;0,006;0;0,02;0,151;0,0024;0;0;0,0007;0;0,016;0,0001;0;0;0,0009;0,0022;0,037;0,011;0,0001;0,011;0,004;-687,0023979
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,4375;m%;97,16;0,25;0,22;0,513;1,423;0,147;0,001;0,006;0;0,02;0,153;0,0023;0;0;0,0007;0;0,016;0,0006;0;0;0,001;0,0022;0,039;0,027;0,0002;0,012;0,005;-686,9854926
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,5446;m%;97,18;0,253;0,219;0,509;1,424;0,146;0,001;0,006;0;0,019;0,149;0,0023;0;0;0,0006;0;0,018;0;0;0;0,0009;0,0021;0,032;0,023;0,0001;0,012;0,006;-686,9688124
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,6517;m%;97,19;0,254;0,22;0,51;1,422;0,144;0,001;0,005;0;0,019;0,148;0,0025;0,0001;0;0,0007;0;0,017;0;0;0;0,0009;0,0021;0,03;0,014;0,0001;0,011;0,004;-686,9523416
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,7766;m%;97,18;0,254;0,219;0,51;1,424;0,144;0,001;0,005;0;0,02;0,153;0,0028;0;0;0,0008;0;0,015;0,0007;0;0;0,001;0,0021;0,035;0,012;0;0,012;0,003;-686,9333979
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,8838;m%;97,19;0,253;0,22;0,512;1,415;0,146;0,001;0,006;0;0,022;0,15;0,0027;0;0;0,0006;0;0,015;0,0025;0;0;0,001;0,0022;0,03;0,019;0,0001;0,011;0,004;-686,9173661
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;75,991;m%;97,19;0,254;0,218;0,513;1,417;0,146;0,001;0,006;0;0,018;0,152;0,0022;0;0;0,0005;0;0,015;0,0004;0,001;0;0,001;0,0022;0,034;0,011;0,0001;0,012;0,007;-686,9015444
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,0983;m%;97,18;0,258;0,22;0,511;1,42;0,144;0,001;0,005;0;0,018;0,152;0,0023;0;0;0,0006;0;0,015;0;0,001;0;0,0009;0,0021;0,033;0,021;0,0002;0,014;0,006;-686,8859183
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,2235;m%;97,18;0,253;0,222;0,512;1,424;0,146;0,001;0,006;0;0,016;0,15;0,0024;0;0;0,0007;0;0,014;0,001;0,001;0;0,0009;0,0021;0,034;0,018;0,0002;0,014;0,007;-686,8679517
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,3307;m%;97,17;0,249;0,218;0,514;1,426;0,149;0,001;0,006;0;0,018;0,145;0,0023;0;0;0,0006;0;0,016;0,0011;0,002;0;0,0009;0,0021;0,042;0,017;0,0001;0,012;0,008;-686,8527961
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,438;m%;97,18;0,252;0,22;0,512;1,423;0,147;0,001;0,005;0;0,018;0,148;0,0025;0;0;0,0006;0;0,017;0,0003;0,001;0;0,0009;0,0022;0,035;0,018;0,0001;0,011;0,004;-686,8378369
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,5454;m%;97,17;0,259;0,224;0,511;1,419;0,149;0,001;0,005;0;0,02;0,15;0,0026;0;0;0,0006;0;0,017;0;0;0;0,0009;0,0022;0,03;0,025;0,0001;0,014;0,005;-686,8230749
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,6707;m%;97,17;0,252;0,223;0,512;1,426;0,147;0,001;0,005;0;0,018;0,15;0,0025;0;0;0,0006;0;0,015;0,0003;0;0;0,0009;0,0021;0,033;0,024;0,0001;0,011;0,003;-686,8061194
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,778;m%;97,17;0,248;0,222;0,514;1,428;0,145;0,001;0,005;0;0,021;0,153;0,0022;0;0;0,0006;0;0,017;0,001;0,001;0;0,0009;0,0021;0,029;0,025;0,0002;0,011;0,006;-686,7918282
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,8854;m%;97,16;0,252;0,218;0,513;1,42;0,149;0,001;0,005;0;0,022;0,153;0,0022;0;0;0,0007;0;0,017;0,0004;0,001;0;0,001;0,0022;0,034;0,029;0,0001;0,013;0,006;-686,7777347
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;76,9927;m%;97,17;0,25;0,218;0,511;1,413;0,151;0,001;0,006;0;0,02;0,148;0,0024;0;0;0,0008;0;0,017;0,0004;0,001;0;0,0009;0,0021;0,035;0,029;0,0002;0,014;0,01;-686,7638652
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;77,1179;m%;97,18;0,251;0,22;0,512;1,413;0,149;0,001;0,005;0;0,02;0,151;0,0025;0;0;0,0007;0;0,016;0,0003;0,001;0;0,0009;0,0021;0,036;0,021;0,0001;0,012;0,005;-686,7479484
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;77,2253;m%;97,18;0,248;0,224;0,511;1,419;0,15;0,001;0,006;0;0,018;0,151;0,0024;0;0;0,0007;0;0,017;0,0001;0;0;0,001;0,0021;0,037;0,014;0;0,013;0,006;-686,7345231
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;77,3329;m%;97,2;0,247;0,219;0,51;1,418;0,144;0,001;0,005;0;0,017;0,146;0,0023;0;0;0,0006;0;0,017;0,0001;0,001;0;0,0009;0,0021;0,041;0,009;0,0001;0,014;0,002;-686,7212845
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;77,4404;m%;97,22;0,242;0,213;0,506;1,416;0,151;0,001;0,006;0;0,018;0,147;0,0022;0;0;0,0006;0;0,017;0;0,002;0;0,001;0,0021;0,033;0,013;0,0001;0,013;0,002;-686,7082697
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;77,5658;m%;97,21;0,25;0,212;0,511;1,406;0,151;0,001;0,006;0;0,02;0,146;0,0023;0;0;0,0006;0;0,016;0;0,001;0;0,001;0,0021;0,029;0,016;0,0001;0,013;0,008;-686,6933548
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;77,6732;m%;97,2;0,245;0,217;0,516;1,413;0,151;0,001;0,006;0;0,019;0,146;0,0024;0;0;0,0007;0;0,016;0;0;0;0,001;0,0022;0,028;0,016;0,0001;0,012;0,008;-686,6808094
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;77,7806;m%;97,21;0,248;0,215;0,511;1,406;0,146;0,001;0,006;0;0,018;0,147;0,0024;0;0;0,0006;0;0,017;0,0001;0,001;0;0,0011;0,0021;0,033;0,014;0,0001;0,012;0,005;-686,6684747
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;77,8881;m%;97,21;0,249;0,21;0,513;1,411;0,148;0,001;0,005;0;0,016;0,15;0,0024;0;0;0,0006;0;0,016;0,0015;0;0;0,001;0,0022;0,029;0,016;0,0001;0,013;0,006;-686,6563394
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,0135;m%;97,2;0,245;0,211;0,516;1,407;0,153;0,001;0,005;0;0,02;0,147;0,0026;0;0;0,0007;0;0,017;0,0001;0;0;0,001;0,0021;0,027;0,022;0,0001;0,015;0,005;-686,64245
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,1211;m%;97,19;0,237;0,21;0,514;1,411;0,153;0,001;0,005;0;0,021;0,15;0,0025;0,0001;0;0,0007;0;0,016;0,0004;0;0;0,001;0,0021;0,031;0,03;0;0,014;0,006;-686,6307608
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,2288;m%;97,2;0,237;0,208;0,511;1,423;0,152;0,001;0,006;0;0,019;0,151;0,0022;0,0001;0;0,0007;0;0,016;0,0001;0,002;0;0,0009;0,0021;0,031;0,02;0;0,012;0,008;-686,6192721
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,3364;m%;97,2;0,247;0,213;0,511;1,411;0,149;0,001;0,006;0;0,021;0,15;0,0023;0;0;0,0006;0;0,017;0;0,001;0;0,001;0,0021;0,026;0,028;0;0,012;0,005;-686,608005
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,4619;m%;97,2;0,244;0,209;0,516;1,409;0,15;0,001;0,005;0;0,018;0,147;0,0026;0,0001;0;0,0006;0;0,017;0,0001;0,001;0;0,001;0,0021;0,032;0,025;0,0001;0,012;0,006;-686,5951297
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,5695;m%;97,21;0,247;0,209;0,514;1,409;0,151;0,001;0,006;0;0,018;0,147;0,0025;0;0;0,0007;0;0,017;0,0001;0,002;0;0,001;0,0021;0,03;0,017;0,0001;0,012;0,004;-686,5843188
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,6773;m%;97,21;0,243;0,206;0,515;1,409;0,149;0,001;0,005;0;0,021;0,152;0,0027;0;0;0,0006;0;0,017;0;0,001;0;0,001;0,0021;0,031;0,009;0;0,012;0,006;-686,5736988
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,785;m%;97,2;0,245;0,21;0,518;1,412;0,151;0,001;0,006;0;0,022;0,152;0,0028;0;0;0,0006;0;0,017;0;0;0;0,0011;0,0021;0,037;0,009;0,0002;0,012;0,002;-686,5632991
G18-0053;430438;S013542;P18-00206-LS-S1;0;1;78,9105;m%;97,21;0,242;0,207;0,516;1,411;0,149;0,001;0,006;0;0,02;0,149;0,0029;0;0;0,0006;0;0,016;0,0002;0;0;0,0011;0,0021;0,039;0,009;0,0002;0,014;0,003;-686,551446
